source_raw,source_type,relation,target_raw,target_type,source_chunk_id,source_row_id,published_date,evidence,confidence
Senser,Company,FOUNDED,Yuval Lev,Person,https://www.tmcnet.com/usubmit/2023/09/27/9888588.htm::c0000,623,2023-09-27,Co-Founders Or Sadeh and Yuval Lev,1.0
Or Sadeh,Person,WORKED_AT,DriveNets,Company,https://www.tmcnet.com/usubmit/2023/09/27/9888588.htm::c0000,623,2023-09-27,Or Sadeh and Yuval Lev honed their skills as tech leaders at DriveNets,1.0
Yuval Lev,Person,WORKED_AT,DriveNets,Company,https://www.tmcnet.com/usubmit/2023/09/27/9888588.htm::c0000,623,2023-09-27,Or Sadeh and Yuval Lev honed their skills as tech leaders at DriveNets,1.0
Senser,Company,PARTNERED_WITH,Intel Ignite,Company,https://www.tmcnet.com/usubmit/2023/09/27/9888588.htm::c0000,623,2023-09-27,The company was selected for Intel Ignite's startup accelerator in 2022,0.9
Syntax Health Inc.,Company,DEVELOPED,Syntax Health Inc. enterprise SaaS-based solution,Technology,https://technews.tmcnet.com/news/2023/06/08/9829341.htm::c0000,631,2023-06-08,Syntax Health Inc. an enterprise SaaS-based solution ... announced the launch of its dynamic platform,1.0
SITA,Company,PARTNERED_WITH,Airports Authority of India,Company,https://www.travelnewsasia.com/news23/147-AirportsofIndia.shtml::c0000,635,2023-07-14,SITA has been awarded a landmark deal from the Airports Authority of India,1.0
SITA,Company,USES,technology to 43 of India’s biggest airports,Technology,https://www.travelnewsasia.com/news23/147-AirportsofIndia.shtml::c0000,635,2023-07-14,SITA to Upgrade Technology and Services at 43 of India's Biggest Airports,0.9
ServiceNow,Company,PARTNERED_WITH,NVIDIA,Company,https://www.datanami.com/this-just-in/servicenow-nvidia-and-accenture-partner-to-accelerate-generative-ai-adoption-for-enterprises/::c0000,648,2023-07-27,ServiceNow NVIDIA and Accenture Partner,1.0
ServiceNow,Company,PARTNERED_WITH,Accenture,Company,https://www.datanami.com/this-just-in/servicenow-nvidia-and-accenture-partner-to-accelerate-generative-ai-adoption-for-enterprises/::c0000,648,2023-07-27,ServiceNow NVIDIA and Accenture Partner,1.0
NVIDIA,Company,PARTNERED_WITH,Accenture,Company,https://www.datanami.com/this-just-in/servicenow-nvidia-and-accenture-partner-to-accelerate-generative-ai-adoption-for-enterprises/::c0000,648,2023-07-27,ServiceNow NVIDIA and Accenture Partner,1.0
Lessen,Company,ACQUIRED,SMS Assist,Company,https://www.yahoo.com/lifestyle/lessen-acquires-sms-assist-signaling-170000775.html::c0000,651,2023-01-25,Lessen Acquires SMS Assist,1.0
Loris Degioanni,Person,FOUNDED,Sysdig Inc.,Company,https://technews.tmcnet.com/news/2023/01/26/9750163.htm::c0000,678,2023-01-26,Loris Degioanni CTO and Founder of Sysdig,1.0
Loris Degioanni,Person,LEADS,Sysdig Inc.,Company,https://technews.tmcnet.com/news/2023/01/26/9750163.htm::c0000,678,2023-01-26,Loris Degioanni CTO and Founder of Sysdig,1.0
Ochsner Health,Company,USES,iPhone technology,Technology,https://www.beckershospitalreview.com/digital-health/ochsner-health-uses-iphone-technology-to-remotely-monitor-patients.html::c0000,684,2023-08-01,Ochsner Health uses iPhone technology to remotely monitor patients,1.0
H.I.G. Capital,Company,ACQUIRED,Synecore Limited,Company,https://technews.tmcnet.com/news/2023/03/30/9786590.htm::c0000,743,2023-03-30,one of its affiliates has acquired Synecore Limited,1.0
H.I.G. Capital,Company,ACQUIRED,Meesons Futures Limited,Company,https://technews.tmcnet.com/news/2023/03/30/9786590.htm::c0000,743,2023-03-30,one of its affiliates has acquired ... Meesons Futures Limited,1.0
ServiceNow,Company,PARTNERED_WITH,NVIDIA,Company,https://www.tmcnet.com/usubmit/2023/05/17/9816504.htm::c0000,746,2023-05-17,ServiceNow and NVIDIA today announced a partnership,1.0
ServiceNow,Company,DEVELOPED,generative AI,Technology,https://www.tmcnet.com/usubmit/2023/05/17/9816504.htm::c0000,746,2023-05-17,ServiceNow and NVIDIA today announced a partnership to develop powerful enterprise-grade generative AI capabilities,1.0
NVIDIA,Company,DEVELOPED,generative AI,Technology,https://www.tmcnet.com/usubmit/2023/05/17/9816504.htm::c0000,746,2023-05-17,ServiceNow and NVIDIA today announced a partnership to develop powerful enterprise-grade generative AI capabilities,1.0
Truescope,Company,ACQUIRED,Universal Information Services,Company,https://technuter.com/global-tech/truescope-acquires-us-firm-universal-information-services.html::c0000,765,2023-02-01,Truescope Acquires US Firm Universal Information Services,1.0
Syndio,Company,PARTNERED_WITH,Broadridge Financial Solutions,Company,https://financialit.net/news/management/syndio-partners-broadridge-pay-equity-financial-services-sector-looks-deliver-s-esg::c0000,769,2023-01-12,Syndio the world's leading workplace equity analytics platform announced a new partnership today with global Fintech leader Broadridge Financial Solutions,1.0
Broadridge Financial Solutions,Company,USES,Syndio’s technology,Technology,https://financialit.net/news/management/syndio-partners-broadridge-pay-equity-financial-services-sector-looks-deliver-s-esg::c0000,769,2023-01-12,Broadridge Financial Solutions is employing Syndio’s technology to better enable the critical steps of measuring and deepening their commitment to pay equity,1.0
Athersys,Company,DEVELOPED,SIFU(R) Technology,Technology,https://www.barrons.com/articles/athersys-expands-ip-protection-with-first-new-patent-for-sifu-r-technology-c0ddf1d0::c0000,788,2023-02-28,Athersys ... announced ... the United States Patent and Trademark Office has granted the Company a new patent for its novel cryogenic storage system,0.9
SYNLAB,Company,INVESTED_IN,innovative Healthcare Centre in Florence,Company,https://markets.businessinsider.com/news/stocks/eqs-news-synlab-ag-synlab-invests-in-innovative-healthcare-centre-in-florence-1032413969::c0000,792,2023-06-28,SYNLAB invests in innovative Healthcare Centre in Florence,1.0
PSG,Company,PARTNERED_WITH,Dover,Company,https://technews.tmcnet.com/news/2023/05/10/9812025.htm::c0000,821,2023-05-10,PSG part of Dover (NYSE: DOV),0.9
PSG,Company,DEVELOPED,BioProTTTM FlowSU System,Technology,https://technews.tmcnet.com/news/2023/05/10/9812025.htm::c0000,821,2023-05-10,PSG ... announced the launch of its new BioProTTTM FlowSU System,0.95
PSG,Company,DEVELOPED,SumoFlo® CPFM-8103 Single-Use Coriolis Mass Flow Meter,Technology,https://technews.tmcnet.com/news/2023/05/10/9812025.htm::c0000,821,2023-05-10,PSG ... updated SumoFlo® CPFM-8103 Single-Use Coriolis Mass Flow Meter technologies,0.95
Orion Innovation,Company,ACQUIRED,Sryas Inc,Company,https://www.msn.com/en-in/money/news/orion-innovation-acquires-sryas-inc-for-an-undisclosed-sum/ar-AA17Bo4T::c0000,826,2023-02-17,Orion Innovation has acquired global technology company Sryas Inc,0.98
Biognosys,Company,PARTNERED_WITH,Bruker,Company,https://www.pharmiweb.com/press-release/2023-01-04/biognosys-and-bruker-form-partnership-for-advanced-proteomics-cro-services-for-global-biopharma-and-biomarker-customers::c0000,882,2023-01-04,Biognosys and Bruker Form Partnership,1.0
Biognosys,Company,USES,4D proteomics timsTOF technology,Technology,https://www.pharmiweb.com/press-release/2023-01-04/biognosys-and-bruker-form-partnership-for-advanced-proteomics-cro-services-for-global-biopharma-and-biomarker-customers::c0000,882,2023-01-04,Biognosys will access Bruker’s leading 4D proteomics timsTOF technology,1.0
Integrated Water Services Inc.,Company,ACQUIRED,Hyperion International Technologies,Company,https://www.watertechonline.com/industry/article/14290718/integrated-water-services-acquires-hyperion-international-technologies::c0000,890,2023-03-07,Integrated Water Services acquires Hyperion International Technologies,1.0
Parks Associates,Company,FOUNDED,1986,Technology,https://technews.tmcnet.com/news/2023/03/30/9786258.htm::c0000,901,2023-03-30,Founded in 1986 Parks Associates,0.9
Aeris,Company,ACQUIRED,Ericsson's IoT Accelerator and Connected Vehicle Cloud businesses,Technology,https://www.iotevolutionworld.com/iot/articles/454653-leap-connectivity-aeris-acquires-technologies-from-ericsson-support.htm::c0000,935,2023-01-18,Aeris has acquired Ericsson''s IoT Accelerator and Connected Vehicle Cloud businesses,1.0
CoolSys,Company,ACQUIRED,1GNITE,Company,https://www.pehub.com/ares-management-backed-coolsys-buys-used-asset-recovery-solutions-provider-1gnite/::c0000,953,2023-08-08,CoolSys which is backed by Ares Management has acquired 1GNITE,1.0
CoolSys,Company,INVESTED_IN,Ares Management,Company,https://www.pehub.com/ares-management-backed-coolsys-buys-used-asset-recovery-solutions-provider-1gnite/::c0000,953,2023-08-08,Ares Management-backed CoolSys,1.0
Infineon,Company,PARTNERED_WITH,Resonac,Company,https://powerelectronicsworld.net/article/115947/Infineon_and_Resonac_expand_SiC_cooperation::c0000,985,2023-01-12,Infineon and Resonac expand SiC cooperation,1.0
Resonac,Company,USES,SiC materials,Technology,https://powerelectronicsworld.net/article/115947/Infineon_and_Resonac_expand_SiC_cooperation::c0000,985,2023-01-12,Resonac will supply Infineon with SiC materials,1.0
Biz Technology Solutions Inc.,Company,PARTNERED_WITH,New Charter Technologies,Company,https://technews.tmcnet.com/news/2023/03/20/9779638.htm::c0000,991,2023-03-20,Biz Technology Solutions Enters Into Partnership With New Charter Technologies,1.0
New Charter Technologies,Company,INVESTED_IN,Oval Partners,Company,https://technews.tmcnet.com/news/2023/03/20/9779638.htm::c0000,991,2023-03-20,New Charter Technologies a portfolio company of Palo Alto-based private equity firm Oval Partners,1.0
L&T Technology Services Ltd,Company,ACQUIRED,Smart World & Communication (SWC) business of Larsen & Toubro Ltd (L&T),Company,https://www.siliconindia.com/news/general/lt-sells-business-division-to-subsidiary-lt-technology-services-for-rs-800-cr-nid-220959-cid-1.html::c0000,1007,2023-01-13,L&T Technology Services Ltd will acquire the Smart World & Communication (SWC) business of Larsen & Toubro Ltd (L&T),1.0
Dash Solutions,Company,ACQUIRED,KyckGlobal,Company,https://www.bizjournals.com/atlanta/inno/stories/news/2023/08/30/birminghams-dash-solutions-buys-kyckglobal.html::c0000,1169,2023-08-30,Dash Solutions acquired KyckGlobal a financial technology company and payments platform,1.0
Private Investment Consortium,Company,ACQUIRED,Syneos Health,Company,https://www.tmcnet.com/usubmit/-syneos-health-be-acquired-a-private-investment-consortium-/2023/05/10/9811263.htm::c0000,1171,2023-05-10,Syneos Health to be Acquired by a Private Investment Consortium,1.0
Options Technology,Company,PARTNERED_WITH,Microsoft,Company,https://www.galvnews.com/news_ap/business/options-named-microsoft-solutions-partner-for-security/article_806d69f3-5ed0-53ec-82fe-0900d3b49515.html::c0000,1229,2023-06-08,Options Named Microsoft Solutions Partner for Security,0.9
Trulioo,Company,PARTNERED_WITH,Beedie Luminaries,Company,https://www.bctechnology.com/news/search-results.cfm?company_list=Trulioo%20Information%20Services%20Inc.&posted=last2628000&f=e&arcsrch=45607::c0000,1235,2022-12-21,Trulioo ... is partnering with Beedie Luminaries,0.95
Synchrony,Company,PARTNERED_WITH,The Container Store,Company,https://multichannelmerchant.com/press-releases/synchrony-and-the-container-store-extend-consumer-financing-partnership/::c0000,1321,2023-06-12,Synchrony and The Container Store Extend Consumer Financing Partnership,1.0
Stanbic IBTC,Company,DEVELOPED,payment solutions provider (PSP),Technology,https://guardian.ng/business-services/stanbic-ibtcs-financial-technology-subsidiary-starts-operation/::c0000,1324,2023-05-18,focusing on developing innovative technology solutions to enhance Stanbic IBTC’s existing financial services offerings,0.9
Aran Azarzar,Person,LEADS,JFrog,Company,https://finance.yahoo.com/news/jfrog-welcomes-seasoned-technology-security-121500607.html::c0000,1349,2023-03-31,Aran Azarzar as Chief Information Officer. In this role Azarzar will lead the strategy and operations for JFrog’s Information Technology organization,0.95
Shlomi Ben Haim,Person,FOUNDED,JFrog,Company,https://finance.yahoo.com/news/jfrog-welcomes-seasoned-technology-security-121500607.html::c0000,1349,2023-03-31,reporting directly to co-Founder and CEO Shlomi Ben Haim,0.9
TRG,Company,ACQUIRED,Symec Technologies Limited,Company,https://it.tmcnet.com/news/2023/04/06/9790648.htm::c0000,1363,2023-04-06,TRG ... has acquired Symec Technologies Limited,1.0
SynFutures,Company,DEVELOPED,V3 Perpetual Futures DEX,Technology,https://www.tmcnet.com/usubmit/2023/10/20/9902713.htm::c0000,1385,2023-10-20,SynFutures Announces USD22M Series B and Launches V3 Perpetual Futures DEX,1.0
SynFutures,Company,DEVELOPED,Oyster AMM,Technology,https://www.tmcnet.com/usubmit/2023/10/20/9902713.htm::c0000,1385,2023-10-20,Launches V3 Perpetual Futures DEX with Proprietary Oyster AMM,1.0
APICORP,Company,INVESTED_IN,Ashtead Technology,Company,https://www.zawya.com/en/business/energy/apicorp-exits-investment-in-oil-services-company-ashtead-technology-eoch4zqa::c0000,1394,2023-07-10,APICORP has completed the sale of APICORP's equity investment in oil services company Ashtead Technology,1.0
Syntax,Company,ACQUIRED,Tyemill,Company,https://www.bizjournals.com/seattle/news/2023/04/19/tyemill-acquired-syntax-seattle-new-york.html::c0000,1397,2023-04-19,Seattle-based research software company Tyemill has been acquired by Syntax,1.0
Mouser Electronics,Company,PARTNERED_WITH,Siemens,Company,https://www.joplinglobe.com/region/national_business/mouser-electronics-partners-with-siemens-on-distribution-agreement-for-industrial-automation-solutions/article_e942e861-e71a-511b-83d5-96250a6611b0.html::c0000,1405,2023-10-30,Mouser Electronics Partners with Siemens on Distribution Agreement,1.0
Zerify Inc.,Company,PARTNERED_WITH,TD SYNNEX,Company,https://it.tmcnet.com/news/2023/06/21/9836399.htm::c0000,1417,2023-06-21,Zerify Inc. ... announced a new partnership with TD SYNNEX,1.0
Intetics,Company,DEVELOPED,AI integrated virtual try-on solution,Technology,https://www.tmcnet.com/usubmit/-ai-integrated-virtual-try-on-customer-centric-solution-/2023/08/29/9871185.htm::c0000,1430,2023-08-29,Intetics a leading American technology company introduces AI integrated virtual try-on solution,1.0
ServiceNow,Company,DEVELOPED,generative AI capabilities,Technology,https://technews.tmcnet.com/news/2023/07/26/9854808.htm::c0000,1435,2023-07-26,ServiceNow Expands Generative AI Capabilities With Case Summarization and Text-to-Code,1.0
Information Services Group,Company,FOUNDED,Information Services Group,Company,https://www.nasdaq.com/articles/information-services-group-iii-declares-$0.04-dividend-0::c0000,1441,2023-05-09,ISG (Information Services Group) is a leading global technology research and advisory firm,0.0
IRIS Software Group,Company,DEVELOPED,IRIS Outsourcing,Technology,https://www.galvnews.com/news_ap/business/iris-software-group-brings-dedicated-outsourcing-to-accounting-firms-in-the-americas/article_3be256ed-e80a-5622-b0b5-c3570f0c8e75.html::c0000,1444,2023-09-05,IRIS Software Group ... is today launching IRIS Outsourcing for accounting firms in the Americas market,1.0
National University of Singapore,Company,DEVELOPED,eAir,Technology,https://medicalxpress.com/news/2023-08-nature-inspired-pressure-technology-aims-health.html::c0000,1458,2023-08-18,"Researchers at the National University of Singapore (NUS) have developed a novel aero-elastic pressure sensor called '""eAir.'""",1.0
Smart Eye,Company,DEVELOPED,AIS Driver Monitoring System,Technology,https://www.tmcnet.com/usubmit/-smart-eyes-ais-driver-monitoring-system-integrated-with-/2023/09/05/9874664.htm::c0000,1463,2023-09-05,Smart Eye a leading developer of Driver Monitoring System (DMS) technology ... announced the integration of AIS - the company''s standalone hardware and software DMS for fleets,1.0
AIS Driver Monitoring System,Technology,PARTNERED_WITH,Geotab,Company,https://www.tmcnet.com/usubmit/-smart-eyes-ais-driver-monitoring-system-integrated-with-/2023/09/05/9874664.htm::c0000,1463,2023-09-05,integration of AIS ... with Geotab ''s industry-leading fleet management platform,1.0
thyssenkrupp,Company,PARTNERED_WITH,Samotics,Company,https://www.automation.com/en-us/articles/october-2023/thyssenkrupp-samotics-sustainability-steel::c0000,1480,2023-10-04,thyssenkrupp Selects Samotics to Increase Reliability and Sustainability of Its Steel Manufacturing Process,0.9
Samotics,Company,DEVELOPED,SAM4,Technology,https://www.automation.com/en-us/articles/october-2023/thyssenkrupp-samotics-sustainability-steel::c0000,1480,2023-10-04,Samotics’ SAM4 technology achieves this by using a technique called ...,0.95
SAM4,Technology,USES,technique,Technology,https://www.automation.com/en-us/articles/october-2023/thyssenkrupp-samotics-sustainability-steel::c0000,1480,2023-10-04,SAM4 technology achieves this by using a technique called ...,0.6
UKAEA,Company,PARTNERED_WITH,University of Sheffield,Company,https://www.gov.uk/government/news/ukaea-and-university-of-sheffield-partnership-to-drive-fusion-technology::c0000,1489,2023-03-09,UKAEA and University of Sheffield partnership to drive fusion technology,0.95
UKAEA and University of Sheffield,Company,DEVELOPED,fusion technology,Technology,https://www.gov.uk/government/news/ukaea-and-university-of-sheffield-partnership-to-drive-fusion-technology::c0000,1489,2023-03-09,partnership to drive fusion technology,0.9
Syndio,Company,PARTNERED_WITH,Broadridge,Company,https://www.goskagit.com/syndio-partners-with-broadridge-for-pay-equity-as-financial-services-sector-looks-to-deliver-on/article_90db3db8-bb97-592d-933d-00ec9c375a78.html::c0000,1511,2023-01-11,Syndio Partners with Broadridge for Pay Equity,1.0
AlarMax Distributors,Company,ACQUIRED,Northern Sound & Light,Company,https://www.securityinfowatch.com/integrators/press-release/53056505/alarmax-alarmax-distributors-acquires-northern-sound-light::c0000,1516,2023-04-06,AlarMax Distributors acquires Northern Sound & Light,1.0
