source_raw,source_type,relation,target_raw,target_type,source_chunk_id,source_row_id,published_date,evidence,confidence,source_name,target_name,source_name_norm,target_name_norm,source_id,target_id
Chris Barber,Person,LEADS,eastern regional team,Technology,https://www.automation.com/en-us/articles/june-2023/kpi-solutions-expands-new-atlanta-office::c0000,156,2023-06-05,Chris Barber leads the eastern regional team,0.9,Chris Barber,eastern regional team,chris barber,eastern regional team,lab19_1fe1f5f8dfcd0769f305a49e,lab19_ac2b74576b4ecd77fe6b1837
Synergy,Company,PARTNERED_WITH,Fabric,Company,https://www.dcvelocity.com/articles/56797-fabric-and-synergy-join-forces-to-provide-retailers-with-advanced-automated-fulfillment-solutions::c0000,163,2023-03-07,Systems integrator joins Fabric’s Partner Elite Program as a strategic partner,0.9,Synergy,Fabric,synergy,fabric,lab19_fd1ccd26b0294bb768797d22,lab19_e4b0df104ec19010344792ec
Syzygy Plasmonics,Company,USES,Emerson,Company,https://www.automation.com/en-us/articles/may-2023/syzygy-plasmonics-emerson-automate-electrification::c0000,169,2023-05-15,Syzygy Plasmonics Selects Emerson to Automate Electrification of Chemical Production Processes,0.9,Syzygy Plasmonics,Emerson,syzygy plasmonics,emerson,lab19_d8f7aec3e77bc45490b0e2b3,lab19_eacca437b414d8785e48c335
Smart Eye,Company,DEVELOPED,Driver Monitoring System,Technology,https://www.businesswire.com/news/home/20230626956385/en/Smart-Eye-Signs-Breakthrough-Deal-for-AIS-Driver-Monitoring-System-for-Fleets-with-Linde::c0000,179,2023-06-26,Smart Eye the leading developer of Driver Monitoring System (DMS) technology,0.95,Smart Eye,Driver Monitoring System,smart eye,driver monitoring system,lab19_e37bc65aed41709c8353685f,lab19_8ee7fac7e9752dc1200cfeb2
Smart Eye,Company,PARTNERED_WITH,Linde,Company,https://www.businesswire.com/news/home/20230626956385/en/Smart-Eye-Signs-Breakthrough-Deal-for-AIS-Driver-Monitoring-System-for-Fleets-with-Linde::c0000,179,2023-06-26,Smart Eye Signs Breakthrough Deal for AIS Driver Monitoring System for Fleets with Linde,0.9,Smart Eye,Linde,smart eye,linde,lab19_e37bc65aed41709c8353685f,lab19_d50cae1021006e64e87fc55c
Microsoft,Company,PARTNERED_WITH,Dynamics 365 Finance and Operations,Technology,https://apnews.com/article/technology-business-99795ddc39ed4fafbc05c514cf446e42::c0000,219,2022-12-14,We are very pleased to enhance our partnership and investment with Microsoft providing affordable Tier-1 Transportation Management Solutions,0.9,Microsoft,Dynamics 365 Finance and Operations,microsoft,dynamics 365 finance and operations,lab19_fb0f4df56fab164ec48722f0,lab19_dbd714fb0ceba74340c1e14f
Raleon,Company,FOUNDED,nCino,Company,https://www.bizjournals.com/triangle/inno/stories/fundings/2023/08/25/web3-startup-raleon-raises-nearly-four-million.html::c0000,269,2023-08-25,A web3 company founded by a team of former nCino (Nasdaq: NCNO) technologists,0.9,Raleon,nCino,raleon,ncino,lab19_fdcc62798ad39e7e1264dc77,lab19_71121f31373728716eae11ed
Nathan Snell,Person,LEADS,Raleon,Company,https://www.bizjournals.com/triangle/inno/stories/fundings/2023/08/25/web3-startup-raleon-raises-nearly-four-million.html::c0000,269,2023-08-25,Nathan Snell co-founder and CEO of Wilmington-based Raleon,1.0,Nathan Snell,Raleon,nathan snell,raleon,lab19_0e8cb1e145496e1cf52ec867,lab19_fdcc62798ad39e7e1264dc77
o9 Solutions,Company,PARTNERED_WITH,Telangana Government,Company,https://www.businesswire.com/news/home/20230826511370/en/::c0000,276,2023-08-27,o9 Solutions Announces Hyderabad Office and Strategic Partnership With Telangana Government,1.0,o9 Solutions,Telangana Government,o9 solutions,telangana government,lab19_098349719c431c0255ad6e14,lab19_c321a107a5b06c3bbc9a839d
o9 Solutions,Company,DEVELOPED,AI powered software platform,Technology,https://www.businesswire.com/news/home/20230826511370/en/::c0000,276,2023-08-27,Solutions a leading AI powered software platform used by global manufacturers and retailers,0.9,o9 Solutions,AI powered software platform,o9 solutions,ai powered software platform,lab19_098349719c431c0255ad6e14,lab19_96bb576190bf5616ac406439
Christopher Kirchner,Person,FOUNDED,Slync,Company,https://www.bizjournals.com/sanfrancisco/inno/stories/news/2023/10/27/logistics-startup-slync-christopher-kirchner.html::c0000,283,2023-10-27,Logistics startup Slync is shutting down and pointing the finger at co-founder and former CEO Christopher Kirchner,0.95,Christopher Kirchner,Slync,christopher kirchner,slync,lab19_9fed1582022a037a3cfb3d66,lab19_4af878a52d972da7f5af3015
Christopher Kirchner,Person,LEADS,Slync,Company,https://www.bizjournals.com/sanfrancisco/inno/stories/news/2023/10/27/logistics-startup-slync-christopher-kirchner.html::c0000,283,2023-10-27,co-founder and former CEO Christopher Kirchner,1.0,Christopher Kirchner,Slync,christopher kirchner,slync,lab19_9fed1582022a037a3cfb3d66,lab19_4af878a52d972da7f5af3015
Pavion,Company,ACQUIRED,K&J Integrated Systems,Company,https://technews.tmcnet.com/news/2023/07/18/9850160.htm::c0000,298,2023-07-18,Pavion Acquires K&J Integrated Systems,1.0,Pavion,K&J Integrated Systems,pavion,k j integrated systems,lab19_7293212edb5d2cd24685b7b2,lab19_c695a0230c23b793b74fb7ae
Synechron,Company,PARTNERED_WITH,VisionGroup,Company,https://www.benzinga.com/pressreleases/23/07/n33193613/synechron-and-visiongroup-partner-to-leverage-datasense::c0000,311,2023-07-12,Synechron and VisionGroup Partner to Leverage dataSense,1.0,Synechron,VisionGroup,synechron,visiongroup,lab19_d3375cc1a631efa9976e8d53,lab19_373d890fb62f2b9835942939
dataSense,Technology,USES,Synechron,Company,https://www.benzinga.com/pressreleases/23/07/n33193613/synechron-and-visiongroup-partner-to-leverage-datasense::c0000,311,2023-07-12,Synechron and VisionGroup Partner to Leverage dataSense,0.9,dataSense,Synechron,datasense,synechron,lab19_b8d7328656e25f2ac097dba8,lab19_d3375cc1a631efa9976e8d53
The Associated Press,Company,PARTNERED_WITH,OpenAI,Company,https://www.ap.org/press-releases/2023/ap-open-ai-agree-to-share-select-news-content-and-technology-in-new-collaboration::c0000,366,2023-07-13,The Associated Press and OpenAI have reached an agreement to share access to select news content and technology,1.0,The Associated Press,OpenAI,the associated press,openai,lab19_34b8a61f0bc9f2595429d800,lab19_773eeb9b7cc008bff365fcdd
OpenAI,Company,USES,generative AI,Technology,https://www.ap.org/press-releases/2023/ap-open-ai-agree-to-share-select-news-content-and-technology-in-new-collaboration::c0000,366,2023-07-13,potential use cases for generative AI in news products and services,0.9,OpenAI,generative AI,openai,generative ai,lab19_773eeb9b7cc008bff365fcdd,lab19_2b088c1a7495a477c910a268
MEF,Company,PARTNERED_WITH,CyberRatings.org,Company,https://www.tmcnet.com/usubmit/2023/10/03/9891464.htm::c0000,369,2023-10-03,MEF ... and CyberRatings.org (CyberRatings) ... accelerating enterprise digital transformation and CyberRatings.org ... through its research and testing programs,0.8,MEF,CyberRatings.org,mef,cyberratings.org,lab19_ca5593fd5fb1f9231ea5306c,lab19_6320eaafb986dcd86259945c
Eric Schummer,Person,FOUNDED,Senzary LLC,Company,https://www.iotevolutionworld.com/iot/articles/454712-lorawan-iotlogiq-industry-40-senzarys-finger-the-pulse.htm::c0000,386,2023-01-24,Eric Schummer the founder and CEO of Senzary LLC,1.0,Eric Schummer,Senzary LLC,eric schummer,senzary llc,lab19_76a986b1ff8cfae54ce1c5a1,lab19_07f21a993871226abed12f9f
Eric Schummer,Person,LEADS,Senzary LLC,Company,https://www.iotevolutionworld.com/iot/articles/454712-lorawan-iotlogiq-industry-40-senzarys-finger-the-pulse.htm::c0000,386,2023-01-24,Eric Schummer the founder and CEO of Senzary LLC,1.0,Eric Schummer,Senzary LLC,eric schummer,senzary llc,lab19_76a986b1ff8cfae54ce1c5a1,lab19_07f21a993871226abed12f9f
stow Robotics,Company,PARTNERED_WITH,Phononic,Company,https://www.logisticsmgmt.com/article/automation_provider_stow_robotics_and_cooling_vendor_phononic_partner_on_co::c0000,397,2023-01-31,Automation provider stow Robotics and cooling vendor Phononic partner on cold-chain fulfillment,1.0,stow Robotics,Phononic,stow robotics,phononic,lab19_acc85be475b4809c2dc82a75,lab19_dec00e9cb5da179e31f18e39
Andrew Ellam,Person,LEADS,Climate X,Company,https://www.crowdfundinsider.com/2023/01/201206-climate-x-a-climate-risk-data-and-analytics-provider-appoints-andrew-ellam-as-vp-of-technology/::c0000,406,2023-01-17,Climate X a Climate Risk Data and Analytics Provider Appoints Andrew Ellam as VP of Technology,1.0,Andrew Ellam,Climate X,andrew ellam,climate x,lab19_f012c5441b9142437c784c0e,lab19_380e4fd538b122a566ba9c4a
Juniper Networks,Company,PARTNERED_WITH,Deutsche Telekom,Company,https://finance.yahoo.com/news/juniper-networks-selected-preferred-technology-143400189.html::c0000,412,2023-01-05,Juniper Networks Selected as Preferred Technology Partner for Deutsche Telekom’s Universal Managed Services Infrastructure,1.0,Juniper Networks,Deutsche Telekom,juniper networks,deutsche telekom,lab19_3564887d6a1e4da53ae9c984,lab19_54d027f2dd69c8279492a2a3
Evernorth Health Services,Company,ACQUIRED,Bright.md Technology Platform,Technology,https://www.nasdaq.com/articles/evernorth-health-services-buys-bright.md-technology-platform::c0000,422,2023-10-10,Evernorth Health Services ... announced it will acquiring the technology and clinical capabilities of Bright.md,1.0,Evernorth Health Services,Bright.md Technology Platform,evernorth health services,bright.md technology platform,lab19_b904c950dd62f87b87bb2154,lab19_2479af58195e497ca9a5e316
Ryan Specialty,Company,ACQUIRED,Socius Insurance Services,Company,https://www.benzinga.com/pressreleases/23/05/b32540262/ryan-specialty-signs-definitive-agreement-to-acquire-socius-insurance::c0000,469,2023-05-23,Ryan Specialty ... has signed a definitive agreement to acquire Socius Insurance Services,1.0,Ryan Specialty,Socius Insurance Services,ryan specialty,socius insurance services,lab19_defc363d0ec1319a2bbf9335,lab19_83b262183c78790168a7b94c
HID,Company,DEVELOPED,HID Origo Technology Partner Program,Technology,https://www.securitysystemsnews.com/article/hid-introduces-technology-partner-program-for-mobile-solutions::c0000,480,2023-05-23,HID has announced the release of its HID Origo Technology Partner Program,1.0,HID,HID Origo Technology Partner Program,hid,hid origo technology partner program,lab19_3938e2c50c716cf4ab181bec,lab19_f7c70111897b8aa08061daba
Truescope,Company,ACQUIRED,Universal Information Services,Company,https://www.scoop.co.nz/stories/BU2302/S00020/truescope-acquires-us-firm-universal-information-services.htm::c0000,482,2023-02-01,Australian media intelligence company Truescope has strengthened its position in North America by acquiring leading agency Universal Information Services (UIS),1.0,Truescope,Universal Information Services,truescope,universal information services,lab19_76d30bd48e9692cec398f666,lab19_45f96e77e85bbef809c126ca
Transact,Company,PARTNERED_WITH,Talkiatry,Company,https://campustechnology.com/articles/2023/08/31/transact-campus-partnership-lands-talkiatry-services-on-campus-transact-apps.aspx::c0000,592,2023-09-05,The partnership will “provide students with access to quality psychiatric services ...” Talkiatry said. Transact said Transact will provide partner institutions ...,1.0,Transact,Talkiatry,transact,talkiatry,lab19_5bdf23135506d01440f0eb3d,lab19_2f1936a000dc9b182b3e913a
Syxsense,Company,PARTNERED_WITH,EVOTEK,Company,https://channelvisionmag.com/syxsense-evotek-partner-to-make-endpoint-security-management-easier/::c0000,608,2023-04-21,Syxsense EVOTEK Partner to Make Endpoint Security Management Easier,1.0,Syxsense,EVOTEK,syxsense,evotek,lab19_11cc7c868fd7470c629d4783,lab19_b96ec75459056943f97e6e63
Ivy Tech Community College - Columbus,Company,PARTNERED_WITH,Seymour High School,Company,https://www.therepublic.com/2023/10/08/ivy-tech-seymour-partner-on-high-school-career-events/::c0000,614,2023-10-08,Ivy Tech Community College - Columbus and Seymour High School have partnered,1.0,Ivy Tech Community College - Columbus,Seymour High School,ivy tech community college - columbus,seymour high school,lab19_411762e1b83c80e073568065,lab19_a8d7b989ba05467c875e8af7
Senser,Company,FOUNDED,Or Sadeh,Person,https://www.tmcnet.com/usubmit/2023/09/27/9888588.htm::c0000,623,2023-09-27,Co-Founders Or Sadeh and Yuval Lev,1.0,Senser,Or Sadeh,senser,or sadeh,lab19_bc18d55f3997314f76b638e5,lab19_905322ee51754583648ec948
Senser,Company,FOUNDED,Yuval Lev,Person,https://www.tmcnet.com/usubmit/2023/09/27/9888588.htm::c0000,623,2023-09-27,Co-Founders Or Sadeh and Yuval Lev,1.0,Senser,Yuval Lev,senser,yuval lev,lab19_bc18d55f3997314f76b638e5,lab19_e73af3045bde2a6e9920ca0e
Or Sadeh,Person,WORKED_AT,DriveNets,Company,https://www.tmcnet.com/usubmit/2023/09/27/9888588.htm::c0000,623,2023-09-27,Or Sadeh and Yuval Lev honed their skills as tech leaders at DriveNets,1.0,Or Sadeh,DriveNets,or sadeh,drivenets,lab19_905322ee51754583648ec948,lab19_261a323bf5773a8433c812a6
Yuval Lev,Person,WORKED_AT,DriveNets,Company,https://www.tmcnet.com/usubmit/2023/09/27/9888588.htm::c0000,623,2023-09-27,Or Sadeh and Yuval Lev honed their skills as tech leaders at DriveNets,1.0,Yuval Lev,DriveNets,yuval lev,drivenets,lab19_e73af3045bde2a6e9920ca0e,lab19_261a323bf5773a8433c812a6
Senser,Company,PARTNERED_WITH,Intel Ignite,Company,https://www.tmcnet.com/usubmit/2023/09/27/9888588.htm::c0000,623,2023-09-27,The company was selected for Intel Ignite's startup accelerator in 2022,0.9,Senser,Intel Ignite,senser,intel ignite,lab19_bc18d55f3997314f76b638e5,lab19_c7734621d06ad0189e3b8ce1
Syntax Health Inc.,Company,DEVELOPED,Syntax Health Inc. enterprise SaaS-based solution,Technology,https://technews.tmcnet.com/news/2023/06/08/9829341.htm::c0000,631,2023-06-08,Syntax Health Inc. an enterprise SaaS-based solution ... announced the launch of its dynamic platform,1.0,Syntax Health Inc.,Syntax Health Inc. enterprise SaaS-based solution,syntax health inc.,syntax health inc. enterprise saas-based solution,lab19_93005ab0722a583cd7ff09e4,lab19_68de3701122959fbee8866fc
SITA,Company,PARTNERED_WITH,Airports Authority of India,Company,https://www.travelnewsasia.com/news23/147-AirportsofIndia.shtml::c0000,635,2023-07-14,SITA has been awarded a landmark deal from the Airports Authority of India,1.0,SITA,Airports Authority of India,sita,airports authority of india,lab19_a35410a884e6716dcd70fd37,lab19_2f20169205b1a90a4efc7222
SITA,Company,USES,technology to 43 of India’s biggest airports,Technology,https://www.travelnewsasia.com/news23/147-AirportsofIndia.shtml::c0000,635,2023-07-14,SITA to Upgrade Technology and Services at 43 of India's Biggest Airports,0.9,SITA,technology to 43 of India’s biggest airports,sita,technology to 43 of india s biggest airports,lab19_a35410a884e6716dcd70fd37,lab19_4804907599aabb10bc869477
ServiceNow,Company,PARTNERED_WITH,NVIDIA,Company,https://www.datanami.com/this-just-in/servicenow-nvidia-and-accenture-partner-to-accelerate-generative-ai-adoption-for-enterprises/::c0000,648,2023-07-27,ServiceNow NVIDIA and Accenture Partner,1.0,ServiceNow,NVIDIA,servicenow,nvidia,lab19_cc9c6ee3857729e221d3f6de,lab19_b823fb02e58a12bdc4c38934
ServiceNow,Company,PARTNERED_WITH,Accenture,Company,https://www.datanami.com/this-just-in/servicenow-nvidia-and-accenture-partner-to-accelerate-generative-ai-adoption-for-enterprises/::c0000,648,2023-07-27,ServiceNow NVIDIA and Accenture Partner,1.0,ServiceNow,Accenture,servicenow,accenture,lab19_cc9c6ee3857729e221d3f6de,lab19_01b433b22d620a1f8f7803c5
NVIDIA,Company,PARTNERED_WITH,Accenture,Company,https://www.datanami.com/this-just-in/servicenow-nvidia-and-accenture-partner-to-accelerate-generative-ai-adoption-for-enterprises/::c0000,648,2023-07-27,ServiceNow NVIDIA and Accenture Partner,1.0,NVIDIA,Accenture,nvidia,accenture,lab19_b823fb02e58a12bdc4c38934,lab19_01b433b22d620a1f8f7803c5
Lessen,Company,ACQUIRED,SMS Assist,Company,https://www.yahoo.com/lifestyle/lessen-acquires-sms-assist-signaling-170000775.html::c0000,651,2023-01-25,Lessen Acquires SMS Assist,1.0,Lessen,SMS Assist,lessen,sms assist,lab19_ed55647e1d90630151947f73,lab19_880a3b1b60319498e310720f
Loris Degioanni,Person,FOUNDED,Sysdig Inc.,Company,https://technews.tmcnet.com/news/2023/01/26/9750163.htm::c0000,678,2023-01-26,Loris Degioanni CTO and Founder of Sysdig,1.0,Loris Degioanni,Sysdig Inc.,loris degioanni,sysdig inc.,lab19_af00f4016d094ebfd768969c,lab19_5ebac6e7f79029d438a05ac9
Loris Degioanni,Person,LEADS,Sysdig Inc.,Company,https://technews.tmcnet.com/news/2023/01/26/9750163.htm::c0000,678,2023-01-26,Loris Degioanni CTO and Founder of Sysdig,1.0,Loris Degioanni,Sysdig Inc.,loris degioanni,sysdig inc.,lab19_af00f4016d094ebfd768969c,lab19_5ebac6e7f79029d438a05ac9
Ochsner Health,Company,USES,iPhone technology,Technology,https://www.beckershospitalreview.com/digital-health/ochsner-health-uses-iphone-technology-to-remotely-monitor-patients.html::c0000,684,2023-08-01,Ochsner Health uses iPhone technology to remotely monitor patients,1.0,Ochsner Health,iPhone technology,ochsner health,iphone technology,lab19_aebd90187289b20250b86d49,lab19_97d8fe4791f3387b210532b4
H.I.G. Capital,Company,ACQUIRED,Synecore Limited,Company,https://technews.tmcnet.com/news/2023/03/30/9786590.htm::c0000,743,2023-03-30,one of its affiliates has acquired Synecore Limited,1.0,H.I.G. Capital,Synecore Limited,h.i.g. capital,synecore limited,lab19_939d2efc13ec6919f9b1b709,lab19_b923dc963b20f52fa39de86d
H.I.G. Capital,Company,ACQUIRED,Meesons Futures Limited,Company,https://technews.tmcnet.com/news/2023/03/30/9786590.htm::c0000,743,2023-03-30,one of its affiliates has acquired ... Meesons Futures Limited,1.0,H.I.G. Capital,Meesons Futures Limited,h.i.g. capital,meesons futures limited,lab19_939d2efc13ec6919f9b1b709,lab19_f479b233a1cfa69271ba2b20
ServiceNow,Company,PARTNERED_WITH,NVIDIA,Company,https://www.tmcnet.com/usubmit/2023/05/17/9816504.htm::c0000,746,2023-05-17,ServiceNow and NVIDIA today announced a partnership,1.0,ServiceNow,NVIDIA,servicenow,nvidia,lab19_cc9c6ee3857729e221d3f6de,lab19_b823fb02e58a12bdc4c38934
ServiceNow,Company,DEVELOPED,generative AI,Technology,https://www.tmcnet.com/usubmit/2023/05/17/9816504.htm::c0000,746,2023-05-17,ServiceNow and NVIDIA today announced a partnership to develop powerful enterprise-grade generative AI capabilities,1.0,ServiceNow,generative AI,servicenow,generative ai,lab19_cc9c6ee3857729e221d3f6de,lab19_2b088c1a7495a477c910a268
NVIDIA,Company,DEVELOPED,generative AI,Technology,https://www.tmcnet.com/usubmit/2023/05/17/9816504.htm::c0000,746,2023-05-17,ServiceNow and NVIDIA today announced a partnership to develop powerful enterprise-grade generative AI capabilities,1.0,NVIDIA,generative AI,nvidia,generative ai,lab19_b823fb02e58a12bdc4c38934,lab19_2b088c1a7495a477c910a268
Truescope,Company,ACQUIRED,Universal Information Services,Company,https://technuter.com/global-tech/truescope-acquires-us-firm-universal-information-services.html::c0000,765,2023-02-01,Truescope Acquires US Firm Universal Information Services,1.0,Truescope,Universal Information Services,truescope,universal information services,lab19_76d30bd48e9692cec398f666,lab19_45f96e77e85bbef809c126ca
Syndio,Company,PARTNERED_WITH,Broadridge Financial Solutions,Company,https://financialit.net/news/management/syndio-partners-broadridge-pay-equity-financial-services-sector-looks-deliver-s-esg::c0000,769,2023-01-12,Syndio the world's leading workplace equity analytics platform announced a new partnership today with global Fintech leader Broadridge Financial Solutions,1.0,Syndio,Broadridge Financial Solutions,syndio,broadridge financial solutions,lab19_af2cc43aae380d2715acfeff,lab19_9288e25745f74c90f2ba0187
Broadridge Financial Solutions,Company,USES,Syndio’s technology,Technology,https://financialit.net/news/management/syndio-partners-broadridge-pay-equity-financial-services-sector-looks-deliver-s-esg::c0000,769,2023-01-12,Broadridge Financial Solutions is employing Syndio’s technology to better enable the critical steps of measuring and deepening their commitment to pay equity,1.0,Broadridge Financial Solutions,Syndio’s technology,broadridge financial solutions,syndio s technology,lab19_9288e25745f74c90f2ba0187,lab19_44d6facaa20e9c3954c1bf21
Athersys,Company,DEVELOPED,SIFU(R) Technology,Technology,https://www.barrons.com/articles/athersys-expands-ip-protection-with-first-new-patent-for-sifu-r-technology-c0ddf1d0::c0000,788,2023-02-28,Athersys ... announced ... the United States Patent and Trademark Office has granted the Company a new patent for its novel cryogenic storage system,0.9,Athersys,SIFU(R) Technology,athersys,sifu r technology,lab19_0cebb0b8cc5b8d78b312bc09,lab19_c3e46217a20ca7ca38eada34
SYNLAB,Company,INVESTED_IN,innovative Healthcare Centre in Florence,Company,https://markets.businessinsider.com/news/stocks/eqs-news-synlab-ag-synlab-invests-in-innovative-healthcare-centre-in-florence-1032413969::c0000,792,2023-06-28,SYNLAB invests in innovative Healthcare Centre in Florence,1.0,SYNLAB,innovative Healthcare Centre in Florence,synlab,innovative healthcare centre in florence,lab19_0a62c68a37de9db85f3d0c29,lab19_cfd35a9073356704d86de716
PSG,Company,PARTNERED_WITH,Dover,Company,https://technews.tmcnet.com/news/2023/05/10/9812025.htm::c0000,821,2023-05-10,PSG part of Dover (NYSE: DOV),0.9,PSG,Dover,psg,dover,lab19_483064d6337d5cd16bda1f38,lab19_0ffee29406c6bddd5dde284d
PSG,Company,DEVELOPED,BioProTTTM FlowSU System,Technology,https://technews.tmcnet.com/news/2023/05/10/9812025.htm::c0000,821,2023-05-10,PSG ... announced the launch of its new BioProTTTM FlowSU System,0.95,PSG,BioProTTTM FlowSU System,psg,bioprotttm flowsu system,lab19_483064d6337d5cd16bda1f38,lab19_0ded6c4d82d90bcc9057c2d0
PSG,Company,DEVELOPED,SumoFlo® CPFM-8103 Single-Use Coriolis Mass Flow Meter,Technology,https://technews.tmcnet.com/news/2023/05/10/9812025.htm::c0000,821,2023-05-10,PSG ... updated SumoFlo® CPFM-8103 Single-Use Coriolis Mass Flow Meter technologies,0.95,PSG,SumoFlo® CPFM-8103 Single-Use Coriolis Mass Flow Meter,psg,sumoflo cpfm-8103 single-use coriolis mass flow meter,lab19_483064d6337d5cd16bda1f38,lab19_f6c4431ff12c096dab7fb800
Orion Innovation,Company,ACQUIRED,Sryas Inc,Company,https://www.msn.com/en-in/money/news/orion-innovation-acquires-sryas-inc-for-an-undisclosed-sum/ar-AA17Bo4T::c0000,826,2023-02-17,Orion Innovation has acquired global technology company Sryas Inc,0.98,Orion Innovation,Sryas Inc,orion innovation,sryas inc,lab19_50cb8c3da36966dd76d8d150,lab19_3518343b653eee1de50c9944
Biognosys,Company,PARTNERED_WITH,Bruker,Company,https://www.pharmiweb.com/press-release/2023-01-04/biognosys-and-bruker-form-partnership-for-advanced-proteomics-cro-services-for-global-biopharma-and-biomarker-customers::c0000,882,2023-01-04,Biognosys and Bruker Form Partnership,1.0,Biognosys,Bruker,biognosys,bruker,lab19_7f2aa331f1d97add8d94f1ba,lab19_4abec047da67ffdf3fa3147f
