community_id,size,hubs,dominant_relations,report
73,2,Southern Indiana ENT & Indianapolis Sinus Center | ENT Partners LLC,ACQUIRED,"Community 73 contains 2 entities. Main hubs: Southern Indiana ENT & Indianapolis Sinus Center, ENT Partners LLC. Dominant relation types: ACQUIRED."
77,2,Generative AI Solutions | WebClues Infotech,DEVELOPED,"Community 77 contains 2 entities. Main hubs: Generative AI Solutions, WebClues Infotech. Dominant relation types: DEVELOPED."
75,2,Entrepreneur Media Inc. | Websites and Mobile Application,USES,"Community 75 contains 2 entities. Main hubs: Entrepreneur Media Inc., Websites and Mobile Application. Dominant relation types: USES."
78,2,data | Cloud 10 Studios,USES,"Community 78 contains 2 entities. Main hubs: data, Cloud 10 Studios. Dominant relation types: USES."
72,2,Samoon Information Technology | Kotozna Inc.,PARTNERED_WITH,"Community 72 contains 2 entities. Main hubs: Samoon Information Technology, Kotozna Inc.. Dominant relation types: PARTNERED_WITH."
57,2,Intetics | AI integrated virtual try-on solution,DEVELOPED,"Community 57 contains 2 entities. Main hubs: Intetics, AI integrated virtual try-on solution. Dominant relation types: DEVELOPED."
41,2,Aeris | Ericsson's IoT Accelerator and Connected Vehicle Cloud businesses,ACQUIRED,"Community 41 contains 2 entities. Main hubs: Aeris, Ericsson's IoT Accelerator and Connected Vehicle Cloud businesses. Dominant relation types: ACQUIRED."
50,2,payment solutions provider (PSP) | Stanbic IBTC,DEVELOPED,"Community 50 contains 2 entities. Main hubs: payment solutions provider (PSP), Stanbic IBTC. Dominant relation types: DEVELOPED."
49,2,The Container Store | Synchrony,PARTNERED_WITH,"Community 49 contains 2 entities. Main hubs: The Container Store, Synchrony. Dominant relation types: PARTNERED_WITH."
48,2,Beedie Luminaries | Trulioo,PARTNERED_WITH,"Community 48 contains 2 entities. Main hubs: Beedie Luminaries, Trulioo. Dominant relation types: PARTNERED_WITH."
51,2,Symec Technologies Limited | TRG,ACQUIRED,"Community 51 contains 2 entities. Main hubs: Symec Technologies Limited, TRG. Dominant relation types: ACQUIRED."
55,2,Siemens | Mouser Electronics,PARTNERED_WITH,"Community 55 contains 2 entities. Main hubs: Siemens, Mouser Electronics. Dominant relation types: PARTNERED_WITH."
56,2,TD SYNNEX | Zerify Inc.,PARTNERED_WITH,"Community 56 contains 2 entities. Main hubs: TD SYNNEX, Zerify Inc.. Dominant relation types: PARTNERED_WITH."
53,2,Ashtead Technology | APICORP,INVESTED_IN,"Community 53 contains 2 entities. Main hubs: Ashtead Technology, APICORP. Dominant relation types: INVESTED_IN."
54,2,Tyemill | Syntax,ACQUIRED,"Community 54 contains 2 entities. Main hubs: Tyemill, Syntax. Dominant relation types: ACQUIRED."
58,2,IRIS Outsourcing | IRIS Software Group,DEVELOPED,"Community 58 contains 2 entities. Main hubs: IRIS Outsourcing, IRIS Software Group. Dominant relation types: DEVELOPED."
40,2,Parks Associates | 1986,FOUNDED,"Community 40 contains 2 entities. Main hubs: Parks Associates, 1986. Dominant relation types: FOUNDED."
45,2,Smart World & Communication (SWC) business of Larsen & Toubro Ltd (L&T) | L&T Technology Services Ltd,ACQUIRED,"Community 45 contains 2 entities. Main hubs: Smart World & Communication (SWC) business of Larsen & Toubro Ltd (L&T), L&T Technology Services Ltd. Dominant relation types: ACQUIRED."
46,2,Dash Solutions | KyckGlobal,ACQUIRED,"Community 46 contains 2 entities. Main hubs: Dash Solutions, KyckGlobal. Dominant relation types: ACQUIRED."
47,2,Syneos Health | Private Investment Consortium,ACQUIRED,"Community 47 contains 2 entities. Main hubs: Syneos Health, Private Investment Consortium. Dominant relation types: ACQUIRED."
39,2,Hyperion International Technologies | Integrated Water Services Inc.,ACQUIRED,"Community 39 contains 2 entities. Main hubs: Hyperion International Technologies, Integrated Water Services Inc.. Dominant relation types: ACQUIRED."
37,2,Orion Innovation | Sryas Inc,ACQUIRED,"Community 37 contains 2 entities. Main hubs: Orion Innovation, Sryas Inc. Dominant relation types: ACQUIRED."
35,2,SYNLAB | innovative Healthcare Centre in Florence,INVESTED_IN,"Community 35 contains 2 entities. Main hubs: SYNLAB, innovative Healthcare Centre in Florence. Dominant relation types: INVESTED_IN."
98,2,Ivy Tech Community College | Jobs for the Future,PARTNERED_WITH,"Community 98 contains 2 entities. Main hubs: Ivy Tech Community College, Jobs for the Future. Dominant relation types: PARTNERED_WITH."
96,2,PAR Technology | Burger King,PARTNERED_WITH,"Community 96 contains 2 entities. Main hubs: PAR Technology, Burger King. Dominant relation types: PARTNERED_WITH."
95,2,Ravago Americas | Polymer Technology & Services,ACQUIRED,"Community 95 contains 2 entities. Main hubs: Ravago Americas, Polymer Technology & Services. Dominant relation types: ACQUIRED."
94,2,Playtech | NorthStar Gaming,INVESTED_IN,"Community 94 contains 2 entities. Main hubs: Playtech, NorthStar Gaming. Dominant relation types: INVESTED_IN."
91,2,First Citizens Bank | Silicon Valley Bank,ACQUIRED,"Community 91 contains 2 entities. Main hubs: First Citizens Bank, Silicon Valley Bank. Dominant relation types: ACQUIRED."
92,2,Integreon | CloudNine,PARTNERED_WITH,"Community 92 contains 2 entities. Main hubs: Integreon, CloudNine. Dominant relation types: PARTNERED_WITH."
88,2,PEA | Olink,DEVELOPED,"Community 88 contains 2 entities. Main hubs: PEA, Olink. Dominant relation types: DEVELOPED."
90,2,state-chartered venture capital organization | Connecticut Innovations,FOUNDED,"Community 90 contains 2 entities. Main hubs: state-chartered venture capital organization, Connecticut Innovations. Dominant relation types: FOUNDED."
84,2,recyclable rocket technology | SpaceX,DEVELOPED,"Community 84 contains 2 entities. Main hubs: recyclable rocket technology, SpaceX. Dominant relation types: DEVELOPED."
85,2,Distributed Ledger Technology (DLT) | Fujitsu,USES,"Community 85 contains 2 entities. Main hubs: Distributed Ledger Technology (DLT), Fujitsu. Dominant relation types: USES."
87,2,more than 900 clients including more than 75 of the world’s top 100 enterprises | ISG (Information Services Group),PARTNERED_WITH,"Community 87 contains 2 entities. Main hubs: more than 900 clients including more than 75 of the world’s top 100 enterprises, ISG (Information Services Group). Dominant relation types: PARTNERED_WITH."
86,2,Massachusetts Institute of Technology | MIT Technology Review,FOUNDED,"Community 86 contains 2 entities. Main hubs: Massachusetts Institute of Technology, MIT Technology Review. Dominant relation types: FOUNDED."
83,2,Lanlogic | Quest Technology Management,ACQUIRED,"Community 83 contains 2 entities. Main hubs: Lanlogic, Quest Technology Management. Dominant relation types: ACQUIRED."
79,2,Amazon.com | Ohio,INVESTED_IN,"Community 79 contains 2 entities. Main hubs: Amazon.com, Ohio. Dominant relation types: INVESTED_IN."
80,2,application cyber services outfit | Tetra Tech,ACQUIRED,"Community 80 contains 2 entities. Main hubs: application cyber services outfit, Tetra Tech. Dominant relation types: ACQUIRED."
81,2,NCR Corporation | enterprise technology,DEVELOPED,"Community 81 contains 2 entities. Main hubs: NCR Corporation, enterprise technology. Dominant relation types: DEVELOPED."
70,2,KITRO | Elizabethtown College,USES,"Community 70 contains 2 entities. Main hubs: KITRO, Elizabethtown College. Dominant relation types: USES."
69,2,JPMorgan Asset Management | Vestwell's technology,USES,"Community 69 contains 2 entities. Main hubs: JPMorgan Asset Management, Vestwell's technology. Dominant relation types: USES."
116,2,Chili's | Signal Theory,PARTNERED_WITH,"Community 116 contains 2 entities. Main hubs: Chili's, Signal Theory. Dominant relation types: PARTNERED_WITH."
115,2,Lounges.tv | Diagnal,PARTNERED_WITH,"Community 115 contains 2 entities. Main hubs: Lounges.tv, Diagnal. Dominant relation types: PARTNERED_WITH."
119,2,MAI | WASI,ACQUIRED,"Community 119 contains 2 entities. Main hubs: MAI, WASI. Dominant relation types: ACQUIRED."
120,2,Explorex | MSwipe,PARTNERED_WITH,"Community 120 contains 2 entities. Main hubs: Explorex, MSwipe. Dominant relation types: PARTNERED_WITH."
121,2,Owensboro Health | Symphony,PARTNERED_WITH,"Community 121 contains 2 entities. Main hubs: Owensboro Health, Symphony. Dominant relation types: PARTNERED_WITH."
117,2,NASA technology | Citizen,USES,"Community 117 contains 2 entities. Main hubs: NASA technology, Citizen. Dominant relation types: USES."
112,2,Intel | 3D V-Cache Tech,DEVELOPED | USES,"Community 112 contains 2 entities. Main hubs: Intel, 3D V-Cache Tech. Dominant relation types: DEVELOPED, USES."
105,2,Amazon’s cloud unit | Hugging Face,PARTNERED_WITH,"Community 105 contains 2 entities. Main hubs: Amazon’s cloud unit, Hugging Face. Dominant relation types: PARTNERED_WITH."
100,2,large language models | HPE,USES,"Community 100 contains 2 entities. Main hubs: large language models, HPE. Dominant relation types: USES."
103,2,Future Electronics | WT Micro,ACQUIRED,"Community 103 contains 2 entities. Main hubs: Future Electronics, WT Micro. Dominant relation types: ACQUIRED."
110,2,Cisco | Mercy Corps,PARTNERED_WITH,"Community 110 contains 2 entities. Main hubs: Cisco, Mercy Corps. Dominant relation types: PARTNERED_WITH."
109,2,Rapid Imaging | CTI,ACQUIRED,"Community 109 contains 2 entities. Main hubs: Rapid Imaging, CTI. Dominant relation types: ACQUIRED."
108,2,Cloudpermit | City of Franklin,USES,"Community 108 contains 2 entities. Main hubs: Cloudpermit, City of Franklin. Dominant relation types: USES."
101,2,SA | Oceans and Coastal Information System (OCIMS),USES,"Community 101 contains 2 entities. Main hubs: SA, Oceans and Coastal Information System (OCIMS). Dominant relation types: USES."
130,2,PTC | ServiceMax Field Service Management Technology,DEVELOPED,"Community 130 contains 2 entities. Main hubs: PTC, ServiceMax Field Service Management Technology. Dominant relation types: DEVELOPED."
129,2,SpaceMobile | space-based voice call using a standard smartphone,LEADS,"Community 129 contains 2 entities. Main hubs: SpaceMobile, space-based voice call using a standard smartphone. Dominant relation types: LEADS."
128,2,VIQ Solutions | JAVS,PARTNERED_WITH,"Community 128 contains 2 entities. Main hubs: VIQ Solutions, JAVS. Dominant relation types: PARTNERED_WITH."
127,2,Vibenomics | Mood Media,ACQUIRED,"Community 127 contains 2 entities. Main hubs: Vibenomics, Mood Media. Dominant relation types: ACQUIRED."
126,2,AST Spacemobile | Vodafone Raku,WORKED_AT,"Community 126 contains 2 entities. Main hubs: AST Spacemobile, Vodafone Raku. Dominant relation types: WORKED_AT."
125,2,Inseego | Pocket Box,PARTNERED_WITH,"Community 125 contains 2 entities. Main hubs: Inseego, Pocket Box. Dominant relation types: PARTNERED_WITH."
124,2,AgencyBloc | Radius,ACQUIRED,"Community 124 contains 2 entities. Main hubs: AgencyBloc, Radius. Dominant relation types: ACQUIRED."
123,2,Truecaller | Vi,PARTNERED_WITH,"Community 123 contains 2 entities. Main hubs: Truecaller, Vi. Dominant relation types: PARTNERED_WITH."
122,2,World Wide Technology | Aware,PARTNERED_WITH,"Community 122 contains 2 entities. Main hubs: World Wide Technology, Aware. Dominant relation types: PARTNERED_WITH."
136,2,Sysdig Inc. | Loris Degioanni,LEADS | FOUNDED,"Community 136 contains 2 entities. Main hubs: Sysdig Inc., Loris Degioanni. Dominant relation types: LEADS, FOUNDED."
138,2,Aakanksha Bhargava | PM Relocations Pvt. Ltd.,LEADS,"Community 138 contains 2 entities. Main hubs: Aakanksha Bhargava, PM Relocations Pvt. Ltd.. Dominant relation types: LEADS."
131,2,Dr. DeAngela Burns-Wallace | Office of Information Technology Services,LEADS,"Community 131 contains 2 entities. Main hubs: Dr. DeAngela Burns-Wallace, Office of Information Technology Services. Dominant relation types: LEADS."
134,2,Senzary LLC | Eric Schummer,LEADS | FOUNDED,"Community 134 contains 2 entities. Main hubs: Senzary LLC, Eric Schummer. Dominant relation types: LEADS, FOUNDED."
