id,name,name_norm,type,aliases,aliases_norm
lab19_bc18d55f3997314f76b638e5,Senser,senser,Company,['Senser'],['senser']
lab19_905322ee51754583648ec948,Or Sadeh,or sadeh,Person,['Or Sadeh'],['or sadeh']
lab19_e73af3045bde2a6e9920ca0e,Yuval Lev,yuval lev,Person,['Yuval Lev'],['yuval lev']
lab19_261a323bf5773a8433c812a6,DriveNets,drivenets,Company,['DriveNets'],['drivenets']
lab19_c7734621d06ad0189e3b8ce1,Intel Ignite,intel ignite,Company,['Intel Ignite'],['intel ignite']
lab19_93005ab0722a583cd7ff09e4,Syntax Health Inc.,syntax health inc.,Company,['Syntax Health Inc.'],['syntax health inc.']
lab19_68de3701122959fbee8866fc,Syntax Health Inc. enterprise SaaS-based solution,syntax health inc. enterprise saas-based solution,Technology,['Syntax Health Inc. enterprise SaaS-based solution'],['syntax health inc. enterprise saas-based solution']
lab19_a35410a884e6716dcd70fd37,SITA,sita,Company,['SITA'],['sita']
lab19_2f20169205b1a90a4efc7222,Airports Authority of India,airports authority of india,Company,['Airports Authority of India'],['airports authority of india']
lab19_4804907599aabb10bc869477,technology to 43 of India’s biggest airports,technology to 43 of india s biggest airports,Technology,['technology to 43 of India’s biggest airports'],['technology to 43 of india s biggest airports']
lab19_cc9c6ee3857729e221d3f6de,ServiceNow,servicenow,Company,['ServiceNow'],['servicenow']
lab19_b823fb02e58a12bdc4c38934,NVIDIA,nvidia,Company,"['NVIDIA', 'Nvidia']",['nvidia']
lab19_01b433b22d620a1f8f7803c5,Accenture,accenture,Company,['Accenture'],['accenture']
lab19_ed55647e1d90630151947f73,Lessen,lessen,Company,['Lessen'],['lessen']
lab19_880a3b1b60319498e310720f,SMS Assist,sms assist,Company,['SMS Assist'],['sms assist']
lab19_af00f4016d094ebfd768969c,Loris Degioanni,loris degioanni,Person,['Loris Degioanni'],['loris degioanni']
lab19_5ebac6e7f79029d438a05ac9,Sysdig Inc.,sysdig inc.,Company,['Sysdig Inc.'],['sysdig inc.']
lab19_aebd90187289b20250b86d49,Ochsner Health,ochsner health,Company,['Ochsner Health'],['ochsner health']
lab19_97d8fe4791f3387b210532b4,iPhone technology,iphone technology,Technology,['iPhone technology'],['iphone technology']
lab19_939d2efc13ec6919f9b1b709,H.I.G. Capital,h.i.g. capital,Company,['H.I.G. Capital'],['h.i.g. capital']
lab19_b923dc963b20f52fa39de86d,Synecore Limited,synecore limited,Company,['Synecore Limited'],['synecore limited']
lab19_f479b233a1cfa69271ba2b20,Meesons Futures Limited,meesons futures limited,Company,['Meesons Futures Limited'],['meesons futures limited']
lab19_af2cc43aae380d2715acfeff,Syndio,syndio,Company,['Syndio'],['syndio']
lab19_9288e25745f74c90f2ba0187,Broadridge Financial Solutions,broadridge financial solutions,Company,['Broadridge Financial Solutions'],['broadridge financial solutions']
lab19_44d6facaa20e9c3954c1bf21,Syndio’s technology,syndio s technology,Technology,['Syndio’s technology'],['syndio s technology']
lab19_0cebb0b8cc5b8d78b312bc09,Athersys,athersys,Company,['Athersys'],['athersys']
lab19_c3e46217a20ca7ca38eada34,SIFU(R) Technology,sifu r technology,Technology,['SIFU(R) Technology'],['sifu r technology']
lab19_0a62c68a37de9db85f3d0c29,SYNLAB,synlab,Company,['SYNLAB'],['synlab']
lab19_cfd35a9073356704d86de716,innovative Healthcare Centre in Florence,innovative healthcare centre in florence,Company,['innovative Healthcare Centre in Florence'],['innovative healthcare centre in florence']
lab19_483064d6337d5cd16bda1f38,PSG,psg,Company,['PSG'],['psg']
lab19_0ffee29406c6bddd5dde284d,Dover,dover,Company,['Dover'],['dover']
lab19_0ded6c4d82d90bcc9057c2d0,BioProTTTM FlowSU System,bioprotttm flowsu system,Technology,['BioProTTTM FlowSU System'],['bioprotttm flowsu system']
lab19_f6c4431ff12c096dab7fb800,SumoFlo® CPFM-8103 Single-Use Coriolis Mass Flow Meter,sumoflo cpfm-8103 single-use coriolis mass flow meter,Technology,['SumoFlo® CPFM-8103 Single-Use Coriolis Mass Flow Meter'],['sumoflo cpfm-8103 single-use coriolis mass flow meter']
lab19_50cb8c3da36966dd76d8d150,Orion Innovation,orion innovation,Company,['Orion Innovation'],['orion innovation']
lab19_3518343b653eee1de50c9944,Sryas Inc,sryas inc,Company,['Sryas Inc'],['sryas inc']
lab19_7f2aa331f1d97add8d94f1ba,Biognosys,biognosys,Company,['Biognosys'],['biognosys']
lab19_4abec047da67ffdf3fa3147f,Bruker,bruker,Company,['Bruker'],['bruker']
lab19_ca0db9c5c34d806cc3affbfb,4D proteomics timsTOF technology,4d proteomics timstof technology,Technology,['4D proteomics timsTOF technology'],['4d proteomics timstof technology']
lab19_d437b82403b7eb66b412cedb,Integrated Water Services Inc.,integrated water services inc.,Company,['Integrated Water Services Inc.'],['integrated water services inc.']
lab19_a4526bf0ce1633bdf0041f2b,Hyperion International Technologies,hyperion international technologies,Company,['Hyperion International Technologies'],['hyperion international technologies']
lab19_4841986fd3829535095242bc,Parks Associates,parks associates,Company,['Parks Associates'],['parks associates']
lab19_6c9e12a7af0156132975aaa6,1986,1986,Technology,['1986'],['1986']
lab19_ce0b6a8e50a6a58526e4c85f,Aeris,aeris,Company,['Aeris'],['aeris']
lab19_06f73103c64a031257801ac5,Ericsson's IoT Accelerator and Connected Vehicle Cloud businesses,ericsson s iot accelerator and connected vehicle cloud businesses,Technology,"[""Ericsson's IoT Accelerator and Connected Vehicle Cloud businesses""]",['ericsson s iot accelerator and connected vehicle cloud businesses']
lab19_63d082a8de0796f78ce17b7d,CoolSys,coolsys,Company,['CoolSys'],['coolsys']
lab19_5057c10aa4464ea24cfd2ca3,1GNITE,1gnite,Company,['1GNITE'],['1gnite']
lab19_5b1a8ad7e6c44ce221bc1dac,Ares Management,ares management,Company,['Ares Management'],['ares management']
lab19_482e949a0b6c21ca2b8da03e,Infineon,infineon,Company,['Infineon'],['infineon']
lab19_7d87b719c7aab894bd5ffd26,Resonac,resonac,Company,['Resonac'],['resonac']
lab19_d1835d942964f33b13a19e7e,SiC materials,sic materials,Technology,['SiC materials'],['sic materials']
lab19_cea993ce8031698bbff3b5a5,Biz Technology Solutions Inc.,biz technology solutions inc.,Company,['Biz Technology Solutions Inc.'],['biz technology solutions inc.']
lab19_9960a1ca5dd13b4f18ca1fb7,New Charter Technologies,new charter technologies,Company,['New Charter Technologies'],['new charter technologies']
lab19_92b29452d4d86cc753963b80,Oval Partners,oval partners,Company,['Oval Partners'],['oval partners']
lab19_9164b06b372eb4758cf7db83,L&T Technology Services Ltd,l t technology services ltd,Company,['L&T Technology Services Ltd'],['l t technology services ltd']
lab19_3c804d9bb3f057b4652452ba,Smart World & Communication (SWC) business of Larsen & Toubro Ltd (L&T),smart world communication swc business of larsen toubro ltd l t,Company,['Smart World & Communication (SWC) business of Larsen & Toubro Ltd (L&T)'],['smart world communication swc business of larsen toubro ltd l t']
lab19_6b8b046564649fd7230883dd,Dash Solutions,dash solutions,Company,['Dash Solutions'],['dash solutions']
lab19_894487a3583e2560ae83ca4e,KyckGlobal,kyckglobal,Company,['KyckGlobal'],['kyckglobal']
lab19_5f8fa4386684658e4d6378f4,Private Investment Consortium,private investment consortium,Company,['Private Investment Consortium'],['private investment consortium']
lab19_df7c76f87f6d7cca6cd3b599,Syneos Health,syneos health,Company,['Syneos Health'],['syneos health']
lab19_9cd910fcf7271d0c1563d8e1,Options Technology,options technology,Company,['Options Technology'],['options technology']
lab19_f523f5db757fde9b073849ee,Trulioo,trulioo,Company,['Trulioo'],['trulioo']
lab19_d0d28e6e94ee646e27675b1a,Beedie Luminaries,beedie luminaries,Company,['Beedie Luminaries'],['beedie luminaries']
lab19_e179c51aff925362c62a976f,Synchrony,synchrony,Company,['Synchrony'],['synchrony']
lab19_21199ddda940caea859b03d4,The Container Store,the container store,Company,['The Container Store'],['the container store']
lab19_e25ac5e7bef70950e97181a9,Stanbic IBTC,stanbic ibtc,Company,['Stanbic IBTC'],['stanbic ibtc']
lab19_9a624f0ad785fc3490e74818,payment solutions provider (PSP),payment solutions provider psp,Technology,['payment solutions provider (PSP)'],['payment solutions provider psp']
lab19_3feb21b4840bec281371b4cd,Aran Azarzar,aran azarzar,Person,['Aran Azarzar'],['aran azarzar']
lab19_7f8f377f2d9ed5bac3b1579c,JFrog,jfrog,Company,['JFrog'],['jfrog']
lab19_24cbecae5663f1983b32e590,Shlomi Ben Haim,shlomi ben haim,Person,['Shlomi Ben Haim'],['shlomi ben haim']
lab19_0922a38889e087ee5482520c,TRG,trg,Company,['TRG'],['trg']
lab19_86b9ff312ddfa2fd19b23947,Symec Technologies Limited,symec technologies limited,Company,['Symec Technologies Limited'],['symec technologies limited']
lab19_41b4798fc321fe6e3f32f05d,SynFutures,synfutures,Company,['SynFutures'],['synfutures']
lab19_39ab1f77aeb1f64d3435a76f,V3 Perpetual Futures DEX,v3 perpetual futures dex,Technology,['V3 Perpetual Futures DEX'],['v3 perpetual futures dex']
lab19_c3e054fbee1c0dbe0752c4ab,Oyster AMM,oyster amm,Technology,['Oyster AMM'],['oyster amm']
lab19_a04df13d4af9fd295f318e88,APICORP,apicorp,Company,['APICORP'],['apicorp']
lab19_c5a9f54d4780774a13f008b9,Ashtead Technology,ashtead technology,Company,['Ashtead Technology'],['ashtead technology']
lab19_b48e5b3bde59dfb99454d2b8,Syntax,syntax,Company,['Syntax'],['syntax']
lab19_776d89f3866049239e5a9365,Tyemill,tyemill,Company,['Tyemill'],['tyemill']
lab19_55e96777dc5ff9d22d8f9411,Mouser Electronics,mouser electronics,Company,['Mouser Electronics'],['mouser electronics']
lab19_454367b0da7e1115b6521f24,Siemens,siemens,Company,['Siemens'],['siemens']
lab19_b76416b6a4ab6a1dfc99c3b8,Zerify Inc.,zerify inc.,Company,['Zerify Inc.'],['zerify inc.']
lab19_c097f034a917efc579a7954c,TD SYNNEX,td synnex,Company,['TD SYNNEX'],['td synnex']
lab19_0c97494439da453a3f871cf1,Intetics,intetics,Company,['Intetics'],['intetics']
lab19_6fbd0c11869440b6a110fe04,AI integrated virtual try-on solution,ai integrated virtual try-on solution,Technology,['AI integrated virtual try-on solution'],['ai integrated virtual try-on solution']
lab19_51b4da2e19c1c611815ef4a8,generative AI capabilities,generative ai capabilities,Technology,['generative AI capabilities'],['generative ai capabilities']
lab19_1fc54fda3a6aac9d0fd10120,IRIS Software Group,iris software group,Company,['IRIS Software Group'],['iris software group']
lab19_4ccf2b1022a7cda3c007b5ed,IRIS Outsourcing,iris outsourcing,Technology,['IRIS Outsourcing'],['iris outsourcing']
lab19_1e63f6e82f7d316e12adc791,National University of Singapore,national university of singapore,Company,['National University of Singapore'],['national university of singapore']
lab19_9ac11fc9d015bd72410130a3,eAir,eair,Technology,['eAir'],['eair']
lab19_1058736ddf32907683423757,AIS Driver Monitoring System,ais driver monitoring system,Technology,['AIS Driver Monitoring System'],['ais driver monitoring system']
lab19_7e4b21f21144b29d3c774b6f,Geotab,geotab,Company,['Geotab'],['geotab']
lab19_0fdf09671989b87d6adcaea3,thyssenkrupp,thyssenkrupp,Company,['thyssenkrupp'],['thyssenkrupp']
lab19_67ac22294f3bf7d4ff2c73fa,Samotics,samotics,Company,['Samotics'],['samotics']
lab19_3e279dfa1489d3403199d1e0,SAM4,sam4,Technology,['SAM4'],['sam4']
lab19_a3185564a51580eec732c6c5,technique,technique,Technology,['technique'],['technique']
lab19_4843a907d36f29f746e4be1c,UKAEA,ukaea,Company,['UKAEA'],['ukaea']
lab19_88cbe29fbdd8eee71ac6003f,University of Sheffield,university of sheffield,Company,['University of Sheffield'],['university of sheffield']
lab19_9a21a04fee7f211a1b276dcd,UKAEA and University of Sheffield,ukaea and university of sheffield,Company,['UKAEA and University of Sheffield'],['ukaea and university of sheffield']
lab19_750f851d597b6440addf0589,fusion technology,fusion technology,Technology,['fusion technology'],['fusion technology']
lab19_46df9aa943faedefeb6285ec,Broadridge,broadridge,Company,['Broadridge'],['broadridge']
lab19_77458f020ae7845ac971b48c,AlarMax Distributors,alarmax distributors,Company,['AlarMax Distributors'],['alarmax distributors']
lab19_c50ec6e407cbeab483415268,Northern Sound & Light,northern sound light,Company,['Northern Sound & Light'],['northern sound light']
lab19_cbd6668a59b9111207a09196,Aakanksha Bhargava,aakanksha bhargava,Person,['Aakanksha Bhargava'],['aakanksha bhargava']
lab19_a975a8c472160b57d6ad58b1,PM Relocations Pvt. Ltd.,pm relocations pvt. ltd.,Company,['PM Relocations Pvt. Ltd.'],['pm relocations pvt. ltd.']
lab19_73aeff777fda31455f3d5428,S. Steven Salar,s. steven salar,Person,['S. Steven Salar'],['s. steven salar']
lab19_1f731379e19ac0f0a118bdd9,Exdion Solutions,exdion solutions,Company,['Exdion Solutions'],['exdion solutions']
lab19_217c17a733dcb1546b3b5efc,Evolve Information Solutions,evolve information solutions,Company,['Evolve Information Solutions'],['evolve information solutions']
lab19_d861246a7d147dca8a41a9c7,Priority Software,priority software,Company,['Priority Software'],['priority software']
lab19_dff60636890518ca28972d84,Yotta,yotta,Company,['Yotta'],['yotta']
lab19_32f4a11ecbbe1f535e34cabf,Sunstone,sunstone,Company,['Sunstone'],['sunstone']
lab19_db8c8868e0d57f40662163d8,Signet FCU,signet fcu,Company,['Signet FCU'],['signet fcu']
lab19_196ef826aa5aac16ce4bc9ea,OMNICOMMANDER,omnicommander,Company,['OMNICOMMANDER'],['omnicommander']
lab19_114488bb0bef8a0647b95c4c,Digital Branch,digital branch,Technology,['Digital Branch'],['digital branch']
lab19_6e2f5e22c6086b54c403c927,Technical Safety Services,technical safety services,Company,['Technical Safety Services'],['technical safety services']
lab19_617aad43df21a672ce896fba,Precision Air Technology,precision air technology,Company,['Precision Air Technology'],['precision air technology']
lab19_43efc18e4b8b0c7e46e6099b,Levine Leichtman Capital Partners,levine leichtman capital partners,Company,['Levine Leichtman Capital Partners'],['levine leichtman capital partners']
lab19_d4458148d1b963a55671f2ec,DWF Labs,dwf labs,Company,['DWF Labs'],['dwf labs']
lab19_e1a524c2f3675fa4c49c68fe,Sensorium,sensorium,Company,['Sensorium'],['sensorium']
lab19_49606c78dc63e456e453f16c,Sensorium Galaxy,sensorium galaxy,Technology,['Sensorium Galaxy'],['sensorium galaxy']
lab19_1c2551b1e743876677684ef7,StoreDot,storedot,Company,['StoreDot'],['storedot']
lab19_82e90945c43c3c7512a8bfba,VinES,vines,Company,['VinES'],['vines']
lab19_f37985aa78c382ef684b382c,Extreme Fast Charging (XFC) batteries,extreme fast charging xfc batteries,Technology,['Extreme Fast Charging (XFC) batteries'],['extreme fast charging xfc batteries']
lab19_c781da7d3ab303067e416bb7,JPMorgan Asset Management,jpmorgan asset management,Company,['JPMorgan Asset Management'],['jpmorgan asset management']
lab19_adc2e17f735185066d96853d,Vestwell's technology,vestwell s technology,Technology,"[""Vestwell's technology""]",['vestwell s technology']
lab19_c6beacaa9b0ffd450ac0c098,Aarul Malviya,aarul malviya,Person,['Aarul Malviya'],['aarul malviya']
lab19_69e7954260ba73434c5eff88,Zamit,zamit,Company,['Zamit'],['zamit']
lab19_fce39cf917f573ea7933b95d,Daragh Morrisey,daragh morrisey,Person,['Daragh Morrisey'],['daragh morrisey']
lab19_622a48fdba106aa95b482ca2,AI at Microsoft,ai at microsoft,Technology,['AI at Microsoft'],['ai at microsoft']
lab19_4f5c599d80e3f459819f8d8f,AI,ai,Technology,['AI'],['ai']
lab19_7bc471980d17285ba16b8743,Elizabethtown College,elizabethtown college,Company,['Elizabethtown College'],['elizabethtown college']
lab19_0c4e57e32920729e6447f3c3,KITRO,kitro,Technology,['KITRO'],['kitro']
lab19_ddc40b1f61d1d9c0dcfae158,Digi International,digi international,Company,['Digi International'],['digi international']
lab19_ce21ad4e92944a04e7842967,SkyCloud 23.5 Update,skycloud 23.5 update,Technology,['SkyCloud 23.5 Update'],['skycloud 23.5 update']
lab19_f3edcc36130b7e405efd68da,5G Home Internet,5g home internet,Technology,['5G Home Internet'],['5g home internet']
lab19_ea9a9143fd23b9498c8718d4,Ultra Wideband 5G technology,ultra wideband 5g technology,Technology,['Ultra Wideband 5G technology'],['ultra wideband 5g technology']
lab19_ca6254e47477539df3452047,Kotozna Inc.,kotozna inc.,Company,['Kotozna Inc.'],['kotozna inc.']
lab19_97cf5435dd789d2a683885d5,Samoon Information Technology,samoon information technology,Company,['Samoon Information Technology'],['samoon information technology']
lab19_a8676e7eb41953dd088e4d22,ENT Partners LLC,ent partners llc,Company,['ENT Partners LLC'],['ent partners llc']
lab19_0a0f904eb8db4b5bfee6d12c,Southern Indiana ENT & Indianapolis Sinus Center,southern indiana ent indianapolis sinus center,Company,['Southern Indiana ENT & Indianapolis Sinus Center'],['southern indiana ent indianapolis sinus center']
lab19_216d333103cc699417ddb224,G-P,g-p,Company,['G-P'],['g-p']
lab19_b579d7d74e895631f95f9742,Cathie Wood,cathie wood,Person,['Cathie Wood'],['cathie wood']
lab19_0d2bb1b706d2a79bf27fdd7d,Tech Stocks,tech stocks,Technology,['Tech Stocks'],['tech stocks']
lab19_40f5f86659afe9751f163cf9,ISG,isg,Company,['ISG'],['isg']
lab19_b2b582633490b0777693bb42,more than 900 clients,more than 900 clients,Company,['more than 900 clients'],['more than 900 clients']
lab19_d0f860785449f141ab759fe4,JFrog’s Information Technology organization,jfrog s information technology organization,Company,['JFrog’s Information Technology organization'],['jfrog s information technology organization']
lab19_73bc0c10daf5bd39729a331e,PUSHTechTM,pushtechtm,Company,['PUSHTechTM'],['pushtechtm']
lab19_54cb5edddc5609c35649429d,Entrepreneur Media Inc.,entrepreneur media inc.,Company,['Entrepreneur Media Inc.'],['entrepreneur media inc.']
lab19_6f1d11663377464c0fc1d5e5,Websites and Mobile Application,websites and mobile application,Technology,['Websites and Mobile Application'],['websites and mobile application']
lab19_701cc0154bd88a08189343a8,Dragos,dragos,Company,['Dragos'],['dragos']
lab19_560780a8c7dfa297cfdf94c8,Dragos Partner Program,dragos partner program,Technology,['Dragos Partner Program'],['dragos partner program']
lab19_cdebe466debc0fa68f8eb3f1,channel partners,channel partners,Company,['channel partners'],['channel partners']
lab19_33887e8a77358bab8466d0b0,ChipMixer,chipmixer,Technology,['ChipMixer'],['chipmixer']
lab19_84037c4883b17d646a653358,bitcoin,bitcoin,Technology,['bitcoin'],['bitcoin']
lab19_60a6107e24f9d609c25fe3c7,Heather Ennis,heather ennis,Person,['Heather Ennis'],['heather ennis']
lab19_e28dbfdbc2812b537e3c50ee,Northwest Indiana Forum,northwest indiana forum,Company,['Northwest Indiana Forum'],['northwest indiana forum']
lab19_402c2dcb1bee91eab1c590ef,Digital Crossroad,digital crossroad,Technology,['Digital Crossroad'],['digital crossroad']
lab19_df25b22684e54224ea0f4b9d,Quantum Corridor,quantum corridor,Technology,['Quantum Corridor'],['quantum corridor']
lab19_4ca2f2b9b7c005c20ec083d6,READI projects,readi projects,Technology,['READI projects'],['readi projects']
lab19_cf9700760d754aaf277dfc7e,WebClues Infotech,webclues infotech,Company,['WebClues Infotech'],['webclues infotech']
lab19_8c1b2bbd9b33bbef92985670,Generative AI Solutions,generative ai solutions,Technology,['Generative AI Solutions'],['generative ai solutions']
lab19_4b2ea950f2a5ebe7f3ef3b29,Cloud 10 Studios,cloud 10 studios,Company,['Cloud 10 Studios'],['cloud 10 studios']
lab19_7371cffcba1a61b2aa477860,data,data,Technology,['data'],['data']
lab19_599f5c3c96d1daa9f501f825,Amazon.com,amazon.com,Company,['Amazon.com'],['amazon.com']
lab19_cdbc3fb21285706fef459a24,Ohio,ohio,Company,['Ohio'],['ohio']
